PMID	year	count
18455228	2010	76
17903296	2010	29
17952075	2010	44
18587394	2010	262
19304780	2009	6
19207018	2009	3
18369459	2010	57
17603485	2010	73
17401366	2010	82
18451265	2010	34
19009022	2009	3
19465909	2009	14
19404256	2009	28
17529974	2010	63
17671248	2011	15
19193627	2011	12
18057069	2011	10
17827064	2011	9
17362836	2011	12
15761122	2011	225
18660810	2010	22
17634447	2010	29
19359809	2009	1
19165155	2009	2
19448620	2009	2
19448623	2009	3
19448619	2009	5
19448621	2009	5
19448622	2009	2
19412176	2009	8
19165232	2009	4
19247474	2010	30
19009022	2010	10
18519826	2010	30
17407593	2010	19
19268276	2010	16
18227835	2010	50
17158188	2010	55
18957941	2010	19
17052657	2010	34
16252231	2010	31
19369658	2009	10
17637780	2010	42
19448189	2009	3
18067574	2010	19
18264098	2010	43
18264097	2010	75
18264096	2010	94
17558408	2011	49
19056611	2009	4
19182806	2009	5
19107115	2010	27
19065144	2010	40
19330027	2009	16
19196962	2009	3
17903308	2010	18
20031578	2009	2
19303062	2009	2
18360741	2009	2
19198613	2009	15
17668382	2010	15
19096518	2009	7
19330030	2009	13
19412175	2009	4
19125160	2009	7
18514160	2010	7
18940312	2010	30
18758464	2010	40
19430480	2009	29
19110211	2010	12
19148276	2010	31
18327256	2010	32
19043545	2010	30
19060910	2010	89
19060911	2010	99
19060906	2010	143
19259986	2010	5
19197363	2010	58
18820697	2010	9
19412176	2010	34
18834626	2010	48
18327257	2010	56
18179892	2010	52
19030899	2010	7
18952825	2010	17
19079261	2010	164
19483682	2009	5
19483681	2009	5
19414484	2009	3
19181680	2009	2
19260139	2009	1
19567438	2009	12
19030899	2009	3
19343178	2009	8
19571811	2009	30
19571809	2009	16
19571808	2009	18
18711366	2010	61
20031564	2009	2
19578365	2009	4
19578364	2009	4
19270707	2009	10
19010793	2010	42
18997785	2010	26
18985386	2010	32
19278955	2009	1
19430482	2009	6
19252134	2009	9
18193044	2010	100
18391951	2010	54
17611496	2010	87
17618283	2010	73
19508998	2009	1
18391952	2010	96
16614226	2010	45
20031538	2010	6
19458352	2009	9
18846501	2010	15
18951430	2010	13
18937294	2010	15
18980221	2010	27
18839057	2010	24
18821565	2010	29
18759275	2009	3
19230858	2010	9
18941528	2010	13
18454146	2010	43
19349984	2009	6
18326623	2010	38
19074352	2010	24
19124843	2009	2
18372901	2010	73
19023125	2009	8
19349983	2009	4
19110211	2009	3
20031576	2009	3
19330027	2010	54
17934461	2010	51
19011631	2010	71
18372905	2010	61
19165918	2010	49
19169254	2010	86
19587794	2009	2
18991354	2010	22
17903304	2010	19
17434096	2010	23
19287509	2010	5
19198610	2010	68
19185284	2009	2
17903294	2010	6
17478679	2011	125
19584900	2010	6
18729187	2009	1
19084217	2009	6
19116933	2010	9
17558408	2010	51
19442274	2009	1
20031579	2009	2
18193046	2010	33
19151714	2010	64
19198609	2010	102
17053108	2010	63
19188921	2009	1
18594024	2011	16
19525955	2009	4
19503088	2009	6
19525953	2009	10
19221038	2010	9
19416921	2009	3
18794855	2010	46
19597492	2009	1
19597491	2009	1
18311140	2010	39
19571808	2010	122
17554300	2011	690
19581569	2009	3
18403759	2010	41
19114657	2010	40
19706858	2009	5
18997786	2010	24
17478681	2011	132
17634449	2011	174
18252221	2010	18
18488026	2010	31
18488028	2010	20
18483556	2010	33
19169255	2010	38
19684604	2009	2
19684603	2009	1
19451621	2010	26
19182806	2010	11
17460697	2011	64
17434869	2011	213
17463249	2011	144
17463246	2011	202
17463248	2011	170
18347602	2011	36
17068223	2011	177
18759275	2010	4
19268274	2009	2
19079262	2010	40
19219042	2010	54
19584346	2009	1
19570815	2009	2
19396169	2009	11
17653210	2010	4
17903298	2010	9
19802338	2010	14
19359809	2010	7
19115949	2010	23
17470457	2009	3
19734903	2009	11
19734902	2009	9
18471798	2010	14
19300500	2009	10
19483685	2009	11
19503088	2010	31
19330030	2010	55
19749758	2009	5
19749757	2009	5
19684573	2009	14
19148276	2009	5
19270707	2010	18
20125088	2009	1
19198611	2010	47
19430483	2010	103
18836448	2010	57
19122664	2010	42
19165155	2010	14
19503597	2010	40
19132087	2010	29
19118814	2010	37
19578366	2009	2
19578367	2009	2
19478329	2010	4
19300482	2010	45
18978790	2010	44
19483681	2010	26
19483682	2010	25
19656524	2009	1
19349983	2010	19
19483685	2010	63
19734902	2010	140
19497516	2009	2
19124843	2010	7
17618284	2010	85
20175129	2010	3
19268274	2010	7
19197363	2011	64
17053149	2011	27
17611496	2011	103
19698717	2009	1
19648918	2009	2
19287384	2010	43
19557161	2009	3
18976728	2010	40
19300499	2010	48
19734903	2010	138
18846228	2010	28
19430480	2010	88
18776929	2010	8
18325910	2010	23
19567438	2010	60
19242412	2009	2
18758461	2010	38
19197348	2010	5
19116933	2009	5
19668339	2009	1
19503597	2009	4
19060907	2010	72
19060909	2010	61
19430760	2010	4
18978792	2010	40
18364390	2010	12
19706858	2010	115
17846126	2010	15
19404256	2010	81
18439548	2010	29
19188921	2010	10
19680635	2009	1
18454146	2011	47
18454148	2011	99
17658951	2011	95
18463370	2010	25
19734901	2009	3
19369658	2010	45
19525953	2010	85
19401414	2009	1
19654303	2009	1
19430482	2010	34
19252134	2010	26
17846125	2010	9
17505501	2010	28
19801982	2009	2
19578366	2010	38
19198613	2010	27
17903302	2010	17
17053108	2011	63
19305409	2010	43
19305408	2010	43
18591461	2010	7
18521090	2010	16
18195134	2010	16
18615156	2010	21
19176441	2010	24
